 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Idade simples e Ano
Município: 431490 PORTO ALEGRE
Sexo: Masculino
Período:2010-2021
"Idade simples";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"45 anos";8998;8873;8746;8622;8512;8414;8495;8575;8717;8947;9248;9478
"46 anos";9110;8914;8728;8545;8365;8194;8281;8371;8464;8615;8858;9151
"47 anos";9151;8993;8762;8544;8329;8111;8173;8247;8328;8407;8547;8802
"48 anos";9084;9028;8858;8619;8392;8165;8183;8211;8253;8296;8342;8512
"49 anos";8946;8983;8938;8782;8558;8346;8310;8271;8244;8227;8215;8307
"50 anos";8836;8877;8917;8877;8728;8511;8402;8294;8183;8083;7997;8085
"51 anos";8698;8739;8767;8794;8743;8590;8416;8251;8084;7917;7760;7855
"52 anos";8500;8552;8592;8620;8649;8605;8469;8262;8062;7863;7660;7732
"53 anos";8256;8319;8383;8435;8477;8524;8484;8337;8117;7908;7696;7726
"54 anos";7962;8055;8142;8231;8309;8382;8429;8398;8260;8057;7860;7839
"55 anos";7651;7783;7906;8024;8145;8258;8309;8359;8332;8200;8000;7910
"56 anos";7359;7518;7672;7816;7957;8103;8151;8190;8227;8190;8049;7896
"57 anos";7055;7236;7411;7578;7739;7897;7956;8005;8043;8081;8044;7927
"58 anos";6744;6937;7126;7309;7486;7655;7724;7797;7856;7907;7957;7930
"59 anos";6423;6623;6817;7008;7193;7373;7472;7565;7660;7745;7819;7874
"60 anos";6095;6290;6492;6688;6882;7071;7203;7330;7451;7577;7690;7749
"61 anos";5775;5965;6166;6375;6577;6779;6937;7090;7237;7379;7524;7580
"62 anos";5451;5663;5859;6065;6277;6486;6664;6837;7005;7165;7321;7388
"63 anos";5117;5355;5571;5771;5980;6197;6385;6572;6753;6929;7098;7172
"64 anos";4782;5037;5277;5495;5696;5909;6104;6295;6485;6668;6846;6948
"65 anos";4446;4688;4946;5192;5416;5624;5814;6013;6209;6401;6588;6724
"66 anos";4107;4344;4591;4855;5106;5335;5522;5720;5926;6128;6328;6487
"67 anos";3813;4027;4264;4510;4773;5024;5231;5423;5626;5836;6043;6221
"68 anos";3582;3749;3957;4188;4428;4685;4915;5125;5320;5526;5739;5925
"69 anos";3399;3527;3682;3879;4100;4329;4570;4800;5010;5207;5413;5604
"70 anos";3209;3310;3428;3574;3760;3969;4195;4438;4671;4885;5084;5269
"71 anos";3023;3094;3189;3302;3441;3619;3839;4068;4315;4550;4767;4946
"72 anos";2845;2922;2988;3078;3184;3316;3513;3731;3959;4202;4435;4631
"73 anos";2666;2759;2831;2892;2975;3074;3228;3419;3630;3850;4087;4299
"74 anos";2492;2595;2682;2747;2802;2878;2997;3141;3320;3520;3729;3949
"75 anos";2322;2394;2490;2569;2627;2674;2772;2885;3021;3193;3384;3586
"76 anos";2152;2198;2263;2350;2421;2472;2546;2641;2751;2883;3048;3239
"77 anos";2005;2047;2086;2143;2220;2282;2358;2426;2514;2615;2738;2907
"78 anos";1884;1916;1950;1981;2028;2096;2177;2242;2299;2374;2462;2597
"79 anos";1785;1809;1831;1854;1878;1918;1996;2061;2108;2148;2205;2316
"80 anos e mais";10201;10707;11235;11780;12340;12911;13423;13982;14572;15173;15774;16426
"Total";668098;670215;672469;674785;677190;679759;682224;684492;686743;688870;690935;692932
 Fonte:
 
 2000 a 2021 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVSA/DAENT/CGIAE

